web-scraper-order,web-scraper-start-url,Name,Position,Team,G-val,AB-val,R-val,H-val,2B-val,3B-val,HR-val,RBI,BB-val,SO-val,SB-val,CS-val,AVG,OBP,SLG,OPS
1718118535-115,https://www.milb.com/stats/?page=13,PedroP PagésPagés,C,MEM,7,18,3,4,2,0,1,2,5,5,0,0,0.222,0.417,0.5,0.917
1718118535-116,https://www.milb.com/stats/?page=13,MarkM PaytonPayton,LF,CLT,37,116,13,31,6,1,1,11,17,21,3,1,0.267,0.356,0.362,0.718
1718118535-117,https://www.milb.com/stats/?page=13,BrettB PhillipsPhillips,CF,CLT,17,50,5,6,3,1,1,7,7,27,3,0,0.12,0.228,0.28,0.508
1718118535-118,https://www.milb.com/stats/?page=13,AnthonyA PratoPrato,3B,STP,51,164,34,35,12,1,1,6,39,41,5,1,0.213,0.384,0.317,0.701
1718118535-119,https://www.milb.com/stats/?page=13,WenceelW PérezPérez,DH,TOL,8,33,8,7,2,2,1,5,4,6,4,0,0.212,0.297,0.485,0.782
1718118535-120,https://www.milb.com/stats/?page=13,BryanB RamosRamos,3B,CLT,12,44,5,14,2,0,1,3,4,11,1,0,0.318,0.38,0.432,0.812
1718118535-121,https://www.milb.com/stats/?page=13,RobR RefsnyderRefsnyder,RF,WOR,4,12,3,4,1,0,1,1,1,5,0,0,0.333,0.385,0.667,1.052
1718118535-122,https://www.milb.com/stats/?page=13,AlfonsoA Rivas IIIRivas,1B,MEM,45,156,23,40,10,2,1,19,22,46,0,0,0.256,0.366,0.365,0.731
1718118535-123,https://www.milb.com/stats/?page=13,LuisL Robert Jr.Robert,CF,CLT,5,20,3,2,0,0,1,3,0,6,0,0,0.1,0.182,0.25,0.432
1718118535-124,https://www.milb.com/stats/?page=13,CodyC RobertsRoberts,C,LHV,13,39,5,12,3,0,1,7,5,11,1,0,0.308,0.386,0.462,0.848
1718118535-125,https://www.milb.com/stats/?page=13,ErrolE RobinsonRobinson,SS,NOR,44,141,19,31,7,0,1,11,20,46,12,3,0.22,0.315,0.291,0.606
1718118535-126,https://www.milb.com/stats/?page=13,ColeC RoedererRoederer,CF,IOW,8,28,8,5,0,0,1,2,4,8,0,0,0.179,0.343,0.286,0.629
1718118535-127,https://www.milb.com/stats/?page=13,KarsonK SimasSimas,LF,WOR,8,29,7,11,0,0,1,5,2,4,2,0,0.379,0.424,0.483,0.907
1718118535-128,https://www.milb.com/stats/?page=13,MylesM StrawStraw,CF,COL,56,227,31,54,7,5,1,17,24,55,9,1,0.238,0.308,0.326,0.634
1718118535-129,https://www.milb.com/stats/?page=13,JackJ SuwinskiSuwinski,CF,IND,7,28,3,7,0,1,1,2,1,13,0,0,0.25,0.276,0.429,0.705
1718118535-130,https://www.milb.com/stats/?page=13,SpencerS TorkelsonTorkelson,1B,TOL,6,24,8,8,3,0,1,4,4,5,0,0,0.333,0.429,0.583,1.012
1718118535-131,https://www.milb.com/stats/?page=13,TaylorT TrammellTrammell,LF,SWB,25,78,8,18,6,0,1,11,12,31,1,2,0.231,0.33,0.346,0.676
1718118535-132,https://www.milb.com/stats/?page=13,GiontiG TurnerTurner,2B,DUR,15,34,4,5,1,0,1,2,2,9,1,0,0.147,0.194,0.265,0.459
1718118539-133,https://www.milb.com/stats/?page=12,MichaelM ChavisChavis,2B,CLT,2,8,1,2,0,0,1,1,0,3,0,0,0.25,0.25,0.625,0.875
1718118539-134,https://www.milb.com/stats/?page=12,BrendenB DixonDixon,DH,IND,6,14,2,2,0,0,1,2,1,7,1,0,0.143,0.2,0.357,0.557
1718118539-135,https://www.milb.com/stats/?page=12,PatrickP DorrianDorrian,3B,NAS,27,85,17,9,2,0,1,4,19,33,0,0,0.106,0.28,0.165,0.445
1718118539-136,https://www.milb.com/stats/?page=12,LoganL DriscollDriscoll,C,DUR,20,72,15,21,6,1,1,12,10,15,1,0,0.292,0.388,0.444,0.832
1718118539-137,https://www.milb.com/stats/?page=12,OliverO DunnDunn,3B,NAS,8,29,6,9,3,0,1,3,4,9,2,1,0.31,0.394,0.517,0.911
1718118539-138,https://www.milb.com/stats/?page=12,DominicD FletcherFletcher,CF,CLT,11,42,6,10,4,0,1,4,5,10,0,0,0.238,0.319,0.405,0.724
1718118539-139,https://www.milb.com/stats/?page=12,ShayneS FontanaFontana,1B,NOR,32,98,15,20,2,0,1,5,8,25,8,1,0.204,0.284,0.255,0.539
1718118539-140,https://www.milb.com/stats/?page=12,MattM FraizerFraizer,RF,IND,19,67,8,16,3,1,1,8,6,16,0,1,0.239,0.301,0.358,0.659
1718118539-141,https://www.milb.com/stats/?page=12,LeuryL GarcíaGarcia,RF,GWN,27,100,18,32,6,2,1,14,9,21,4,0,0.32,0.374,0.45,0.824
1718118539-142,https://www.milb.com/stats/?page=12,DrewD GilbertGilbert,CF,SYR,7,25,2,6,0,0,1,1,2,10,0,0,0.24,0.321,0.36,0.681
1718118539-143,https://www.milb.com/stats/?page=12,YasmaniY GrandalGrandal,C,IND,9,35,3,9,2,0,1,11,3,8,0,0,0.257,0.316,0.4,0.716
1718118539-144,https://www.milb.com/stats/?page=12,JordanJ GroshansGroshans,3B,SWB,17,57,8,13,2,0,1,7,6,11,0,1,0.228,0.302,0.316,0.618
1718118539-145,https://www.milb.com/stats/?page=12,DaltonD GuthrieGuthrie,CF,WOR,32,91,10,21,3,0,1,8,7,25,7,3,0.231,0.293,0.297,0.59
1718118539-146,https://www.milb.com/stats/?page=12,AdamA HackenbergHackenberg,C,CLT,32,104,11,21,3,0,1,4,20,54,1,0,0.202,0.344,0.26,0.604
1718118539-147,https://www.milb.com/stats/?page=12,HudsonH HaskinHaskin,LF,NOR,26,86,15,18,3,0,1,9,14,28,6,1,0.209,0.34,0.279,0.619
1718118539-148,https://www.milb.com/stats/?page=12,HeribertoH HernandezHernandez,RF,DUR,6,19,2,2,0,0,1,2,4,10,0,0,0.105,0.292,0.263,0.555
1718118539-149,https://www.milb.com/stats/?page=12,YonnyY HernándezHernández,2B,NAS,52,179,24,45,5,2,1,23,27,34,7,5,0.251,0.357,0.318,0.675
1718118539-150,https://www.milb.com/stats/?page=12,DannyD JansenJansen,C,BUF,4,13,2,4,1,0,1,6,1,4,0,0,0.308,0.357,0.615,0.972
1718118539-151,https://www.milb.com/stats/?page=12,EdouardE JulienJulien,2B,STP,6,24,1,3,0,0,1,1,2,8,0,0,0.125,0.192,0.25,0.442
1718118539-152,https://www.milb.com/stats/?page=12,NickN KahleKahle,C,NAS,13,39,4,10,2,0,1,10,2,5,0,0,0.256,0.326,0.385,0.711
1718118539-153,https://www.milb.com/stats/?page=12,GrantG KochKoch,C,IND,18,56,6,9,2,0,1,5,3,26,0,0,0.161,0.203,0.25,0.453
1718118539-154,https://www.milb.com/stats/?page=12,RyanR KreidlerKreidler,SS,TOL,9,25,2,4,0,0,1,5,2,12,1,0,0.16,0.276,0.28,0.556
1718118539-155,https://www.milb.com/stats/?page=12,BradyB LindslyLindsly,C,ROC,29,93,11,24,7,0,1,17,11,24,0,0,0.258,0.34,0.366,0.706
1718118539-156,https://www.milb.com/stats/?page=12,RafaelR MarchánMarchán,C,LHV,9,32,2,7,1,0,1,5,7,8,0,0,0.219,0.35,0.344,0.694
1718118539-157,https://www.milb.com/stats/?page=12,ElihE MarreroMarrero,C,WOR,4,13,3,2,1,0,1,2,1,8,0,0,0.154,0.267,0.462,0.729
1718118543-158,https://www.milb.com/stats/?page=11,MichaelM PérezPérez,C,NOR,22,79,4,17,2,0,2,13,5,27,0,0,0.215,0.287,0.316,0.603
1718118543-159,https://www.milb.com/stats/?page=11,ChrisC RollerRoller,CF,NAS,29,115,15,23,7,2,2,16,4,48,2,0,0.2,0.227,0.348,0.575
1718118543-160,https://www.milb.com/stats/?page=11,CoreyC RosierRosier,LF,WOR,39,119,14,22,4,0,2,13,13,34,8,1,0.185,0.269,0.269,0.538
1718118543-161,https://www.milb.com/stats/?page=11,JavierJ SanojaSanoja,SS,JAX,41,160,21,51,12,4,2,23,17,10,4,3,0.319,0.378,0.481,0.859
1718118543-162,https://www.milb.com/stats/?page=11,HaydenH SengerSenger,C,SYR,28,83,12,20,7,1,2,14,6,25,0,0,0.241,0.297,0.422,0.719
