Rk,Name,Age,Tm,Lev,Aff,W,L,W-L%,ERA,RA9,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W
76,Luis Reyes,28,ROC,AAA,WSN,5,0,1,4.35,5.4,45,0,5,0,0,0,68.1,58,41,33,4,47,1,67,7,0,4,313,1.537,7.6,0.5,6.2,8.8,1.43
77,Tommy Romero,25,ROC,AAA,WSN,5,7,0.417,5.44,5.65,36,10,4,0,0,0,87.2,86,55,53,11,61,1,82,3,0,4,401,1.677,8.8,1.1,6.3,8.4,1.34
78,Chris Roycroft,26,MEM,AAA,STL,5,5,0.5,4.83,6.25,22,0,10,0,0,1,31.2,29,22,17,2,25,0,35,4,0,3,150,1.705,8.2,0.6,7.1,9.9,1.4
79,Dennis Santana,27,SYR,AAA,NYM,5,3,0.625,4.91,5.73,29,2,16,0,0,5,33,40,21,18,6,20,4,41,0,2,3,152,1.818,10.9,1.6,5.5,11.2,2.05
80,Jared Shuster*,24,GWI,AAA,ATL,5,6,0.455,5.01,5.58,16,16,0,0,0,0,79,88,49,44,10,45,0,64,0,0,5,357,1.684,10,1.1,5.1,7.3,1.42
81,Devin Smeltzer*,27,JCK,AAA,MIA,5,10,0.333,6.38,7.74,20,20,0,2,1,0,86,99,74,61,20,48,0,70,2,1,1,394,1.709,10.4,2.1,5,7.3,1.46
82,Collin Snider,27,OMA,AAA,KCR,5,1,0.833,5.91,6.12,39,0,11,0,0,3,42.2,42,29,28,5,31,1,42,3,1,3,200,1.711,8.9,1.1,6.5,8.9,1.35
83,Levi Stoudt,25,LOU,AAA,CIN,5,6,0.455,6.23,6.56,25,19,1,0,0,0,82.1,87,60,57,20,50,0,58,7,1,2,384,1.664,9.5,2.2,5.5,6.3,1.16
84,Connor Thomas*,25,MEM,AAA,STL,5,4,0.556,5.53,6.11,21,17,1,0,0,1,94.1,134,64,58,10,31,0,69,3,0,0,440,1.749,12.8,1,3,6.6,2.23
85,Trent Thornton,29,BFL,AAA,TOR,5,1,0.833,4.18,6.43,22,0,5,0,0,0,28,28,20,13,4,18,0,26,0,1,1,131,1.643,9,1.3,5.8,8.4,1.44
86,Tanner Tully*,28,SWB,AAA,NYY,5,5,0.5,5.64,6.23,19,19,0,0,0,0,91,121,63,57,14,26,0,77,3,0,0,413,1.615,12,1.4,2.6,7.6,2.96
87,Brian Van Belle,26,WOR,AAA,BOS,5,4,0.556,6.41,6.71,13,12,0,0,0,0,60.1,69,45,43,18,25,0,65,1,0,0,274,1.558,10.3,2.7,3.7,9.7,2.6
